Country;inicio;fin;dato;
Afghanistan;03-01-2020;21-09-2023;7946.0;
Africa;03-01-2020;21-09-2023;259009.0;
Albania;03-01-2020;21-09-2023;3604.0;
Algeria;03-01-2020;21-09-2023;6881.0;
American Samoa;03-01-2020;21-09-2023;34.0;
Andorra;03-01-2020;21-09-2023;159.0;
Angola;03-01-2020;21-09-2023;1934.0;
Anguilla;03-01-2020;21-09-2023;12.0;
Antigua and Barbuda;03-01-2020;21-09-2023;146.0;
Argentina;03-01-2020;21-09-2023;130472.0;
Armenia;03-01-2020;21-09-2023;8751.0;
Aruba;03-01-2020;21-09-2023;292.0;
Asia;03-01-2020;21-09-2023;1633547.0;
Australia;03-01-2020;21-09-2023;22887.0;
Austria;03-01-2020;21-09-2023;22534.0;
Azerbaijan;03-01-2020;21-09-2023;10302.0;
Bahamas;03-01-2020;21-09-2023;844.0;
Bahrain;03-01-2020;21-09-2023;1536.0;
Bangladesh;03-01-2020;21-09-2023;29477.0;
Barbados;03-01-2020;21-09-2023;620.0;
Belarus;03-01-2020;21-09-2023;7118.0;
Belgium;03-01-2020;21-09-2023;34339.0;
Belize;03-01-2020;21-09-2023;688.0;
Benin;03-01-2020;21-09-2023;163.0;
Bermuda;03-01-2020;21-09-2023;165.0;
Bhutan;03-01-2020;21-09-2023;21.0;
Bolivia;03-01-2020;21-09-2023;22399.0;
Bonaire Sint Eustatius and Saba;03-01-2020;21-09-2023;41.0;
Bosnia and Herzegovina;03-01-2020;21-09-2023;16352.0;
Botswana;03-01-2020;21-09-2023;2800.0;
Brazil;03-01-2020;21-09-2023;704659.0;
British Virgin Islands;03-01-2020;21-09-2023;64.0;
Brunei;03-01-2020;21-09-2023;163.0;
Bulgaria;03-01-2020;21-09-2023;38403.0;
Burkina Faso;03-01-2020;21-09-2023;396.0;
Burundi;03-01-2020;21-09-2023;15.0;
Cambodia;03-01-2020;21-09-2023;3056.0;
Cameroon;03-01-2020;21-09-2023;1974.0;
Canada;03-01-2020;21-09-2023;53147.0;
Cape Verde;03-01-2020;21-09-2023;415.0;
Cayman Islands;03-01-2020;21-09-2023;37.0;
Central African Republic;03-01-2020;21-09-2023;113.0;
Chad;03-01-2020;21-09-2023;194.0;
Chile;03-01-2020;21-09-2023;61605.0;
China;03-01-2020;21-09-2023;121679.0;
Colombia;03-01-2020;21-09-2023;142942.0;
Comoros;03-01-2020;21-09-2023;160.0;
Congo;03-01-2020;21-09-2023;389.0;
Cook Islands;03-01-2020;21-09-2023;2.0;
Costa Rica;03-01-2020;21-09-2023;9428.0;
Cote d'Ivoire;03-01-2020;21-09-2023;835.0;
Croatia;03-01-2020;21-09-2023;18318.0;
Cuba;03-01-2020;21-09-2023;8530.0;
Curacao;03-01-2020;21-09-2023;305.0;
Cyprus;03-01-2020;21-09-2023;1364.0;
Czechia;03-01-2020;21-09-2023;42831.0;
Democratic Republic of Congo;03-01-2020;21-09-2023;1468.0;
