id ;entidad ;inicio;fin;dato;
Afghanistan;Afghanistan;2020-03-24;2023-09-21;7946.0;
Africa;Africa;2020-03-05;2023-09-21;259009.0;
Albania;Albania;2020-03-12;2023-09-21;3604.0;
Algeria;Algeria;2020-03-29;2023-09-21;6881.0;
American Samoa;American Samoa;2022-03-24;2023-09-21;34.0;
Andorra;Andorra;2020-03-22;2023-09-21;159.0;
Angola;Angola;2020-05-20;2023-09-21;1934.0;
Anguilla;Anguilla;2021-09-22;2023-09-21;12.0;
Antigua and Barbuda;Antigua and Barbuda;2020-04-09;2023-09-21;146.0;
Argentina;Argentina;2020-03-05;2023-09-21;130472.0;
Armenia;Armenia;2020-03-27;2023-09-21;8751.0;
Aruba;Aruba;2020-04-16;2023-09-21;292.0;
Asia;Asia;2020-01-12;2023-09-21;1633547.0;
Australia;Australia;2020-03-02;2023-09-21;22887.0;
Austria;Austria;2020-03-14;2023-09-21;22534.0;
Azerbaijan;Azerbaijan;2020-03-19;2023-09-21;10302.0;
Bahamas;Bahamas;2020-04-03;2023-09-21;844.0;
Bahrain;Bahrain;2020-03-18;2023-09-21;1536.0;
Bangladesh;Bangladesh;2020-03-19;2023-09-21;29477.0;
Barbados;Barbados;2020-04-07;2023-09-21;620.0;
Belarus;Belarus;2020-04-01;2023-09-21;7118.0;
Belgium;Belgium;2020-03-09;2023-09-21;34339.0;
Belize;Belize;2020-04-07;2023-09-21;688.0;
Benin;Benin;2020-04-27;2023-09-21;163.0;
Bermuda;Bermuda;2020-04-08;2023-09-21;165.0;
Bhutan;Bhutan;2021-01-08;2023-09-21;21.0;
Bolivia;Bolivia;2020-03-31;2023-09-21;22399.0;
Bonaire Sint Eustatius and Saba;Bonaire Sint Eustatius and Saba;2020-09-15;2023-09-21;41.0;
Bosnia and Herzegovina;Bosnia and Herzegovina;2020-03-21;2023-09-21;16352.0;
Botswana;Botswana;2020-03-26;2023-09-21;2800.0;
Brazil;Brazil;2020-03-19;2023-09-21;704659.0;
British Virgin Islands;British Virgin Islands;2020-04-20;2023-09-21;64.0;
Brunei;Brunei;2020-03-29;2023-09-21;163.0;
Bulgaria;Bulgaria;2020-03-15;2023-09-21;38403.0;
Burkina Faso;Burkina Faso;2020-03-21;2023-09-21;396.0;
Burundi;Burundi;2020-04-13;2023-09-21;15.0;
Cambodia;Cambodia;2021-03-12;2023-09-21;3056.0;
Cameroon;Cameroon;2020-03-28;2023-09-21;1974.0;
Canada;Canada;2020-03-10;2023-09-21;53147.0;
Cape Verde;Cape Verde;2020-05-03;2023-09-21;415.0;
Cayman Islands;Cayman Islands;2020-03-15;2023-09-21;37.0;
Central African Republic;Central African Republic;2020-05-23;2023-09-21;113.0;
Chad;Chad;2020-04-28;2023-09-21;194.0;
Chile;Chile;2020-03-23;2023-09-21;61605.0;
China;China;2020-01-12;2023-09-21;121679.0;
Colombia;Colombia;2020-03-23;2023-09-21;142942.0;
Comoros;Comoros;2020-05-04;2023-09-21;160.0;
Congo;Congo;2020-04-01;2023-09-21;389.0;
Cook Islands;Cook Islands;2022-04-24;2023-09-21;2.0;
Costa Rica;Costa Rica;2020-03-21;2023-09-21;9428.0;
Cote d'Ivoire;Cote d'Ivoire;2020-03-30;2023-09-21;835.0;
Croatia;Croatia;2020-03-20;2023-09-21;18318.0;
Cuba;Cuba;2020-03-19;2023-09-21;8530.0;
Curacao;Curacao;2020-03-22;2023-09-21;305.0;
Cyprus;Cyprus;2020-03-25;2023-09-21;1364.0;
Czechia;Czechia;2020-03-23;2023-09-21;42831.0;
Democratic Republic of Congo;Democratic Republic of Congo;2020-04-15;2023-09-21;1468.0;
Denmark;Denmark;2020-03-12;2023-09-21;8811.0;
Djibouti;Djibouti;2020-04-11;2023-09-21;189.0;
Dominica;Dominica;2021-08-19;2023-09-21;74.0;
Dominican Republic;Dominican Republic;2020-03-18;2023-09-21;4384.0;
Ecuador;Ecuador;2020-03-16;2023-09-21;36042.0;
Egypt;Egypt;2020-03-10;2023-09-21;24830.0;
El Salvador;El Salvador;2020-04-02;2023-09-21;4230.0;
Equatorial Guinea;Equatorial Guinea;2020-04-21;2023-09-21;183.0;
Eritrea;Eritrea;2020-12-23;2023-09-21;103.0;
Estonia;Estonia;2020-03-29;2023-09-21;2901.0;
Eswatini;Eswatini;2020-04-17;2023-09-21;1427.0;
Ethiopia;Ethiopia;2020-04-12;2023-09-21;7574.0;
Europe;Europe;2020-01-05;2023-09-21;2077006.0;
European Union;European Union;2020-01-05;2023-09-21;1243895.0;
Faeroe Islands;Faeroe Islands;2021-01-07;2023-09-21;28.0;
Fiji;Fiji;2020-08-01;2023-09-21;885.0;
Finland;Finland;2020-03-08;2023-09-21;10185.0;
France;France;2020-03-15;2023-09-21;167985.0;
French Guiana;French Guiana;2020-04-21;2023-09-21;413.0;
French Polynesia;French Polynesia;2020-09-11;2023-09-21;649.0;
Gabon;Gabon;2020-03-31;2023-09-21;307.0;
Gambia;Gambia;2020-10-01;2023-09-21;372.0;
Georgia;Georgia;2020-04-05;2023-09-21;17132.0;
Germany;Germany;2020-01-05;2023-09-21;174979.0;
Ghana;Ghana;2020-09-26;2023-09-21;1462.0;
Gibraltar;Gibraltar;2020-11-13;2023-09-21;113.0;
Greece;Greece;2020-03-15;2023-09-21;37413.0;
Greenland;Greenland;2021-12-24;2023-09-21;21.0;
Grenada;Grenada;2021-01-04;2023-09-21;238.0;
Guadeloupe;Guadeloupe;2020-03-28;2023-09-21;1021.0;
Guam;Guam;2020-03-23;2023-09-21;416.0;
Guatemala;Guatemala;2020-03-18;2023-09-21;20236.0;
Guernsey;Guernsey;2020-03-30;2023-09-21;67.0;
Guinea;Guinea;2020-04-15;2023-09-21;468.0;
Guinea-Bissau;Guinea-Bissau;2020-04-27;2023-09-21;177.0;
Guyana;Guyana;2020-03-13;2023-09-21;1299.0;
Haiti;Haiti;2020-04-07;2023-09-21;860.0;
High income;High income;2020-01-05;2023-09-21;2901294.0;
Honduras;Honduras;2020-03-27;2023-09-21;11127.0;
Hungary;Hungary;2020-03-16;2023-09-21;48803.0;
Iceland;Iceland;2020-03-22;2023-09-21;186.0;
India;India;2020-03-13;2023-09-21;532030.0;
Indonesia;Indonesia;2020-03-11;2023-09-21;161918.0;
Iran;Iran;2020-02-21;2023-09-21;146336.0;
Iraq;Iraq;2020-03-06;2023-09-21;25375.0;
Ireland;Ireland;2020-03-04;2023-09-21;9209.0;
Isle of Man;Isle of Man;2020-04-03;2023-09-21;116.0;
Israel;Israel;2020-03-21;2023-09-21;12670.0;
